cluster,KO,Description
NVE4730,K03929,pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
NVE10828,K06147,"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"
NVE17063,,
NVE14471,,
NVE20928,K03535,"gudP; MFS transporter, ACS family, glucarate transporter"
NVE15490,,
NVE13474,K04800,rfcL; replication factor C large subunit
NVE19558,,
NVE2826,,
NVE11776,,
NVE4137,,
NVE2509,,
NVE2392,,
NVE21882,,
NVE5476,,
NVE21766,,
NVE14763,,
NVE12365,,
NVE2259,,
NVE2496,K01835,pgm; phosphoglucomutase [EC:5.4.2.2]
NVE24717,K01638,aceB; malate synthase [EC:2.3.3.9]
NVE10542,,
NVE23278,,
NVE10947,,
NVE2400,,
NVE15652,,
NVE20167,,
NVE4679,,
NVE7509,K01937,pyrG; CTP synthase [EC:6.3.4.2]
NVE9321,,
NVE9633,,
NVE7375,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE10063,,
NVE25868,,
NVE5960,,
NVE17855,,
NVE2097,,
NVE10768,,
NVE16706,,
NVE21458,,
NVE3287,,
NVE16887,,
NVE9741,,
NVE25081,K01858,INO1; myo-inositol-1-phosphate synthase [EC:5.5.1.4]
NVE3917,,
NVE9335,,
NVE13267,,
NVE25108,,
NVE13922,,
NVE22853,K18237,ribose 1
NVE20313,,
NVE24836,K15865,CDKAL1; threonylcarbamoyladenosine tRNA methylthiotransferase CDKAL1 [EC:2.8.4.5]
NVE9588,,
NVE2765,,
NVE13016,,
NVE19736,,
NVE12520,,
NVE14089,,
NVE20720,,
NVE7094,K00624,E2.3.1.7; carnitine O-acetyltransferase [EC:2.3.1.7]
NVE22146,,
NVE6372,K00627,DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
NVE22474,,
NVE8678,,
NVE17755,,
NVE4032,K00058,serA; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
NVE14082,,
NVE16347,,
NVE577,K07739,ELP3; elongator complex protein 3 [EC:2.3.1.48]
NVE22871,,
NVE7024,,
NVE1744,K00266,gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
NVE19556,,
NVE3126,K01966,PCCB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
NVE25143,,
NVE12821,,
NVE5134,,
NVE20970,,
NVE21546,,
NVE11941,K01301,NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
NVE5214,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE48,K12373,HEXA_B; hexosaminidase [EC:3.2.1.52]
NVE8810,,
NVE16603,,
NVE22102,,
NVE10491,,
NVE3209,,
NVE14119,,
NVE16041,,
NVE8920,K00763,pncB; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
NVE10459,,
NVE9919,,
NVE15485,,
NVE9947,,
NVE1479,,
NVE23206,,
NVE4257,,
NVE13870,K01754,E4.3.1.19; threonine dehydratase [EC:4.3.1.19]
NVE12946,,
NVE21281,,
NVE19236,,
NVE609,,
NVE17297,,
NVE17181,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE23476,,
NVE22250,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE10077,,
NVE12321,,
NVE6966,,
NVE20247,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE11970,,
NVE24609,,
NVE11481,,
NVE20926,,
NVE22473,K08003,
NVE11380,,
NVE24034,,
NVE20900,,
NVE22,,
NVE25538,,
NVE19866,,
NVE2516,K01426,E3.5.1.4; amidase [EC:3.5.1.4]
NVE10387,,
NVE15671,,
NVE19928,K01969,E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
NVE12833,,
NVE20310,,
NVE13878,,
NVE24999,,
NVE2253,K07178,RIOK1; RIO kinase 1 [EC:2.7.11.1]
NVE3186,,
NVE8788,,
NVE3576,,
NVE2771,,
NVE14770,,
NVE10966,K00859,coaE; dephospho-CoA kinase [EC:2.7.1.24]
NVE546,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE9899,K09699,DBT; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]
NVE11816,,
NVE5430,,
NVE10823,,
NVE8077,,
NVE2412,,
NVE692,,
NVE25101,,
NVE11153,,
NVE8822,,
NVE19860,,
NVE1416,,
NVE17459,,
NVE20289,,
NVE25775,,
NVE18467,,
NVE20288,,
NVE15642,,
NVE13428,,
NVE25089,,
NVE6238,K01027,OXCT; 3-oxoacid CoA-transferase [EC:2.8.3.5]
NVE18941,,
NVE31,K19405,mcsB; protein arginine kinase [EC:2.7.14.1]
NVE21005,,
NVE11152,K01251,E3.3.1.1; adenosylhomocysteinase [EC:3.3.1.1]
NVE3001,,
NVE24424,,
NVE1525,,
NVE6999,,
NVE9137,,
NVE5009,,
NVE11121,,
NVE864,,
NVE18700,,
NVE16629,,
NVE18229,,
NVE2199,,
NVE20014,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE10805,,
NVE8790,,
NVE25874,,
NVE12937,,
NVE6564,,
NVE21381,,
NVE8522,,
NVE19963,,
NVE20707,,
NVE2278,,
NVE8590,,
NVE5344,,
NVE22554,,
NVE2589,,
NVE26066,,
NVE5636,,
NVE10314,K11927,rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
NVE22225,K03294,"TC.APA; basic amino acid/polyamine antiporter, APA family"
NVE8347,,
NVE4472,,
NVE12628,,
NVE20656,K01102,
NVE20504,,
NVE20516,,
NVE1515,,
NVE23412,,
NVE12700,K18237,ribose 1
NVE7866,,
NVE12405,,
NVE10049,K03918,lat; L-lysine 6-transaminase [EC:2.6.1.36]
NVE12559,,
NVE13533,,
NVE3214,K11529,gck; glycerate 2-kinase [EC:2.7.1.165]
NVE12093,,
NVE10275,,
NVE9228,,
NVE18,,
NVE13452,,
NVE20828,,
NVE3276,,
NVE18328,,
NVE26117,,
NVE25667,,
NVE14725,,
NVE15960,,
NVE5627,,
NVE8518,,
NVE25477,K00998,pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
NVE8699,,
NVE6158,,
NVE3738,K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
NVE1386,K08151,"tetA; MFS transporter, DHA1 family, tetracycline resistance protein"
NVE7021,,
NVE2962,,
NVE17024,K01679,"E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]"
NVE19313,,
NVE23702,,
NVE932,,
NVE23326,,
NVE8185,K00262,E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
NVE9481,K03535,"gudP; MFS transporter, ACS family, glucarate transporter"
NVE14811,,
NVE22468,,
NVE1528,,
NVE552,,
NVE4084,,
NVE5272,,
NVE22348,,
NVE5596,,
NVE2203,,
NVE21315,,
NVE8331,,
NVE25776,,
NVE19214,,
NVE25642,,
NVE25436,,
NVE8109,,
NVE3922,,
NVE10269,,
NVE18966,,
NVE13698,,
NVE24406,,
NVE11963,K14564,NOP56; nucleolar protein 56
NVE2869,K02323,polB; DNA polymerase II small subunit [EC:2.7.7.7]
NVE9465,,
NVE10074,,
NVE12414,,
NVE22676,,
NVE14526,,
NVE22292,,
NVE26064,,
NVE12144,,
NVE7482,,
NVE18701,,
NVE22421,,
NVE9820,,
NVE25319,,
NVE15296,,
NVE8046,,
NVE16078,,
NVE4544,,
NVE25225,,
NVE6501,,
NVE3,,
NVE9011,,
NVE6080,,
NVE9446,K10217,dmpC; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]
NVE7197,,
NVE3156,,
NVE9347,,
NVE15017,,
NVE13092,K01265,map; methionyl aminopeptidase [EC:3.4.11.18]
NVE12213,,
NVE1153,,
NVE23210,,
NVE22231,,
NVE8679,K09090,
NVE9123,,
NVE19747,,
NVE7568,,
NVE25562,,
NVE3519,,
NVE851,K01908,prpE; propionyl-CoA synthetase [EC:6.2.1.17]
NVE21767,,
NVE5831,,
NVE16522,,
NVE26042,,
NVE16316,,
NVE9570,,
NVE5402,,
NVE22527,K21147,moeZR; sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]
NVE7875,,
NVE20391,,
NVE18484,K09355,
NVE24418,,
NVE7745,K00918,pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
NVE10964,,
NVE26014,K08151,"tetA; MFS transporter, DHA1 family, tetracycline resistance protein"
NVE3720,,
NVE19664,,
NVE17875,,
NVE23949,,
NVE22771,K07386,pepO; putative endopeptidase [EC:3.4.24.-]
NVE19152,,
NVE6355,,
NVE10718,K06916,zapE; cell division protein ZapE
NVE1858,K01556,KYNU; kynureninase [EC:3.7.1.3]
NVE24653,,
NVE2261,,
NVE17359,K09973,uncharacterized protein
NVE729,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE22419,,
NVE25279,,
NVE6101,K10408,
NVE3793,,
NVE19581,K00166,BCKDHA; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
NVE6606,,
NVE4037,,
NVE24850,,
NVE314,K07301,yrbG; cation:H+ antiporter
NVE15653,,
NVE2067,,
NVE5479,K04676,
NVE16211,,
NVE3231,,
NVE17293,,
NVE22620,,
NVE4128,,
NVE12338,,
NVE17948,,
NVE15021,,
NVE3928,,
NVE23418,K04127,cefD; isopenicillin-N epimerase [EC:5.1.1.17]
NVE24839,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE6004,,
NVE24286,,
NVE2928,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE7826,,
NVE12375,,
NVE17206,,
NVE9487,,
NVE9097,,
NVE23573,,
NVE928,,
NVE1488,,
NVE19105,,
NVE15463,,
NVE19242,,
NVE20911,,
NVE16903,K13482,xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]
NVE1098,,
NVE12446,K08714,VGSC; voltage-gated sodium channel
NVE11173,,
NVE21686,,
NVE14298,,
NVE13185,,
NVE12358,,
NVE14960,,
NVE13847,,
NVE578,,
NVE15891,K06013,STE24; STE24 endopeptidase [EC:3.4.24.84]
NVE8304,,
NVE16855,K01581,E4.1.1.17; ornithine decarboxylase [EC:4.1.1.17]
NVE1645,,
NVE9915,,
NVE5777,,
NVE14253,,
NVE8732,K15736,lhgO; L-2-hydroxyglutarate oxidase [EC:1.1.3.-]
NVE25258,,
NVE11651,,
NVE22890,,
NVE1332,,
NVE22998,,
NVE16311,K03535,"gudP; MFS transporter, ACS family, glucarate transporter"
NVE22290,,
NVE21266,,
NVE11234,,
NVE7658,,
NVE20335,,
NVE24437,,
NVE23036,K01805,xylA; xylose isomerase [EC:5.3.1.5]
NVE14886,,
NVE11264,,
NVE24203,,
NVE8091,,
NVE1022,,
NVE12120,,
NVE11834,,
NVE16890,,
NVE644,,
NVE8275,K05592,deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
NVE17101,,
NVE18651,,
NVE7805,,
NVE3367,,
NVE13701,,
NVE16096,,
NVE20585,K04450,
NVE2790,,
NVE481,,
NVE17780,,
NVE23039,,
NVE22427,,
NVE6082,,
NVE8040,,
NVE20474,,
NVE2221,,
NVE11451,,
NVE12174,,
NVE7618,,
NVE22492,,
NVE25276,,
NVE16835,,
NVE16544,,
NVE1230,,
NVE11679,,
NVE2317,,
NVE11026,,
NVE549,,
NVE9913,,
NVE24394,,
NVE9909,K03307,"TC.SSS; solute:Na+ symporter, SSS family"
NVE70,,
NVE17800,,
NVE10031,,
NVE6307,,
NVE24131,,
NVE23308,,
NVE13345,,
NVE25899,,
NVE6748,K13525,VCP; transitional endoplasmic reticulum ATPase
NVE9421,,
NVE20106,,
NVE2181,,
NVE25135,,
NVE422,,
NVE14036,K01939,purA; adenylosuccinate synthase [EC:6.3.4.4]
NVE8433,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
NVE18185,,
NVE19731,,
NVE19805,,
NVE16484,,
NVE1116,K00666,fatty-acyl-CoA synthase [EC:6.2.1.-]
NVE9382,,
NVE20775,,
NVE14066,,
NVE62,,
NVE24198,,
NVE1697,,
NVE16849,,
NVE6621,,
NVE19471,,
NVE12706,,
NVE4527,,
NVE13318,,
NVE1954,,
NVE14957,,
NVE21199,,
NVE14069,,
NVE14256,,
NVE22278,,
NVE7518,,
NVE6046,,
NVE10048,,
NVE3702,K03420,psmR; proteasome regulatory subunit
NVE1861,,
NVE8288,,
NVE13859,,
NVE12544,,
NVE1273,,
NVE22966,,
NVE5744,,
NVE24812,K00471,E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
NVE13687,K03578,hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]
NVE2572,,
NVE15899,,
NVE14166,,
NVE20941,K00819,rocD; ornithine--oxo-acid transaminase [EC:2.6.1.13]
NVE20826,K10716,kch; voltage-gated potassium channel
NVE23443,,
NVE21080,K02445,"glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter"
NVE6832,K12410,npdA; NAD-dependent deacetylase [EC:3.5.1.-]
NVE9666,,
NVE17131,,
NVE13509,,
NVE3104,,
NVE10652,,
NVE3263,,
NVE21232,,
NVE17432,,
NVE6239,,
NVE2125,,
NVE13561,,
NVE25640,,
NVE13978,K00789,metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
NVE12166,,
NVE7723,K03929,pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]
NVE7814,,
NVE21557,,
NVE5130,,
NVE21793,,
NVE3469,,
NVE22230,,
NVE2250,,
NVE22651,K01923,purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
NVE12476,,
NVE3193,,
NVE9412,,
NVE5141,,
NVE8361,,
NVE13153,,
NVE16812,K07126,uncharacterized protein
NVE11806,,
NVE15,,
NVE3169,,
NVE18687,K05996,cpt; carboxypeptidase T [EC:3.4.17.18]
NVE20955,K16575,
NVE3136,K01809,manA; mannose-6-phosphate isomerase [EC:5.3.1.8]
NVE15254,,
NVE24945,,
NVE16151,,
NVE11456,,
NVE3578,,
NVE19369,,
NVE6775,,
NVE6889,,
NVE6455,,
NVE20463,,
NVE17314,,
NVE9341,,
NVE26090,,
NVE6203,,
NVE2621,,
NVE13089,,
NVE8549,,
NVE7398,,
NVE18014,K01555,FAH; fumarylacetoacetase [EC:3.7.1.2]
NVE4891,,
NVE13399,,
NVE1156,K01443,nagA; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
NVE20672,,
NVE13192,,
NVE23780,,
NVE2618,K13051,iaaA; beta-aspartyl-peptidase (threonine type) [EC:3.4.19.5]
NVE21489,,
NVE11312,,
NVE18037,,
NVE25670,,
NVE9162,,
NVE1841,,
NVE5691,,
NVE24313,,
NVE19569,,
NVE18856,,
NVE5052,,
NVE5844,,
NVE7154,,
NVE25001,,
NVE7153,,
NVE1182,,
NVE6690,,
NVE5299,,
NVE13578,K05592,deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
NVE5517,,
NVE18128,,
NVE17357,,
NVE21139,,
NVE25298,,
NVE22051,,
NVE8995,K18889,"mdlA; ATP-binding cassette, subfamily B, multidrug efflux pump"
NVE11418,,
NVE5384,K01875,SARS; seryl-tRNA synthetase [EC:6.1.1.11]
NVE7853,,
NVE504,,
NVE9731,,
NVE9222,,
NVE8523,,
NVE78,,
NVE10699,,
NVE3321,,
NVE12415,,
NVE1781,,
NVE7370,K05825,LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]
NVE24482,,
NVE21756,,
NVE2222,,
NVE17907,,
NVE4459,,
NVE18861,,
NVE2571,,
NVE15704,,
NVE6126,,
NVE22597,,
NVE10058,,
NVE9121,,
NVE1739,K00939,
NVE1732,,
NVE20094,,
NVE9941,K10716,kch; voltage-gated potassium channel
NVE7924,,
NVE13212,,
NVE2179,,
NVE10616,,
NVE2266,,
NVE10671,,
NVE14078,,
NVE8113,,
NVE14754,,
NVE14248,,
NVE2797,,
NVE9672,,
NVE11266,,
NVE13845,,
NVE9051,,
NVE10889,,
NVE13700,,
NVE13167,,
NVE8888,,
NVE16292,,
NVE14250,,
NVE15639,,
NVE13864,,
NVE8706,,
NVE12268,,
NVE7877,,
NVE6060,,
NVE22882,,
NVE19943,,
NVE6845,,
NVE17936,,
NVE19163,,
NVE3266,K07508,ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]
NVE9037,,
NVE4039,,
NVE14838,,
NVE22067,,
NVE11458,,
NVE18951,,
NVE25246,K13482,xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]
NVE12563,,
NVE24846,,
NVE11465,K00161,PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
NVE25076,K17260,
NVE13129,K00966,GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
NVE2878,K03470,rnhB; ribonuclease HII [EC:3.1.26.4]
NVE15295,,
NVE2553,,
NVE2926,,
NVE11538,K01239,iunH; purine nucleosidase [EC:3.2.2.1]
NVE20825,,
NVE3522,K01796,E5.1.99.4; alpha-methylacyl-CoA racemase [EC:5.1.99.4]
NVE14022,,
NVE10941,,
NVE22273,,
NVE11252,,
NVE18470,,
NVE16466,,
NVE4242,,
NVE21616,,
NVE25655,,
NVE623,,
NVE6081,,
NVE23318,,
NVE11685,,
NVE436,,
NVE8240,,
NVE5641,,
NVE5840,,
NVE4285,,
NVE16488,,
NVE10205,,
NVE10409,,
NVE11251,,
NVE14672,,
NVE22357,,
NVE25117,,
NVE25206,,
NVE20674,,
NVE4055,,
NVE1467,,
NVE20343,,
NVE14879,,
NVE7301,,
NVE6138,,
NVE23252,,
NVE379,K02967,RP-S2; small subunit ribosomal protein S2
NVE23947,,
NVE25000,K13963,SERPINB; serpin B
NVE24377,,
NVE14075,,
NVE8713,,
NVE14744,,
NVE25608,,
NVE1136,,
NVE13343,,
NVE2202,K01091,gph; phosphoglycolate phosphatase [EC:3.1.3.18]
NVE19559,,
NVE8196,,
NVE17613,,
NVE9528,,
NVE19230,,
NVE13615,,
NVE5815,,
NVE18261,,
NVE24030,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE2544,,
NVE25340,K00505,TYR; tyrosinase [EC:1.14.18.1]
NVE1251,,
NVE6252,,
NVE23441,,
NVE16477,,
NVE16099,,
NVE3574,,
NVE24995,,
NVE10032,,
NVE24121,K04739,
NVE19680,,
NVE4328,,
NVE5590,,
NVE9767,,
NVE12505,K01488,add; adenosine deaminase [EC:3.5.4.4]
NVE8076,,
NVE21638,,
NVE8660,K02377,TSTA3; GDP-L-fucose synthase [EC:1.1.1.271]
NVE22521,,
NVE16656,,
NVE25530,,
NVE10890,K04799,FEN1; flap endonuclease-1 [EC:3.-.-.-]
NVE2148,,
NVE4014,K00445,
NVE13704,,
NVE8984,,
NVE19870,,
NVE11288,,
NVE6692,,
NVE12655,,
NVE17595,K00312,
NVE13392,,
NVE6616,,
NVE16506,,
NVE21243,,
NVE6979,,
NVE22531,,
NVE2877,,
NVE22514,,
NVE22846,,
NVE15176,K00611,OTC; ornithine carbamoyltransferase [EC:2.1.3.3]
NVE17205,,
NVE20133,,
NVE20095,,
NVE10714,,
NVE20011,,
NVE5286,K06889,uncharacterized protein
NVE19524,K00164,OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
NVE7143,,
NVE12435,,
NVE19453,,
NVE11709,,
NVE9604,,
NVE2644,,
NVE9248,,
NVE12882,,
NVE7407,,
NVE21217,,
NVE2593,,
NVE2818,,
NVE24387,,
NVE1445,,
NVE16869,,
NVE10474,,
NVE3170,,
NVE16129,K04266,
NVE9176,,
NVE10335,,
NVE4682,,
NVE20614,,
NVE15858,,
NVE13944,,
NVE22658,,
NVE11188,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE3314,,
NVE8786,,
NVE5383,,
NVE16225,,
NVE10820,,
NVE13998,,
NVE22143,,
NVE20608,K10536,aguA; agmatine deiminase [EC:3.5.3.12]
NVE10127,,
NVE22982,,
NVE1423,,
NVE21553,,
NVE11966,,
NVE25661,,
NVE2213,,
NVE5995,,
NVE24696,,
NVE24504,,
NVE13304,,
NVE17249,,
NVE18739,,
NVE10357,,
NVE5376,,
NVE7760,,
NVE303,,
NVE9109,,
NVE4791,,
NVE19433,,
NVE9285,,
NVE8400,,
NVE3250,,
NVE22104,,
NVE1255,,
NVE14663,,
NVE10919,,
NVE9500,K04449,
NVE16429,,
NVE11278,,
NVE11949,,
NVE19158,,
NVE5984,K02414,fliK; flagellar hook-length control protein FliK
NVE6586,,
NVE15715,,
NVE4422,,
NVE24973,,
NVE21276,,
NVE26209,,
NVE1222,,
NVE7525,,
NVE13157,,
NVE18003,,
NVE14340,K00508,E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]
NVE288,,
NVE24528,,
NVE18752,,
NVE21504,,
NVE11454,,
NVE3050,K06179,rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
NVE24187,,
NVE4444,,
NVE429,,
NVE17682,,
NVE233,,
NVE6888,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE3614,,
NVE19365,,
NVE17461,,
NVE20971,,
NVE24196,K04801,rfcS; replication factor C small subunit
NVE16246,,
NVE23596,K00604,MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
NVE3860,,
NVE23750,,
NVE25701,,
NVE7547,,
NVE25462,,
NVE13535,,
NVE3208,,
NVE19314,,
NVE12411,,
NVE2338,,
NVE11579,,
NVE629,,
NVE23466,,
NVE18900,K16264,czcD; cobalt-zinc-cadmium efflux system protein
NVE1471,,
NVE22691,K04635,
NVE14737,,
NVE211,,
NVE21001,,
NVE3111,,
NVE21163,,
NVE8357,,
NVE8921,K01640,E4.1.3.4; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
NVE23511,,
NVE15188,,
NVE557,,
NVE23709,,
NVE10848,,
NVE13472,,
NVE12143,,
NVE8828,,
NVE471,,
NVE6770,,
NVE18021,K04266,
NVE20601,,
NVE18991,,
NVE11434,,
NVE24638,,
NVE21044,,
NVE1426,,
NVE18663,K18890,"mdlB; ATP-binding cassette, subfamily B, multidrug efflux pump"
NVE5823,,
NVE6789,,
NVE15481,,
NVE11932,,
NVE15645,,
NVE15922,,
NVE23051,,
NVE19043,,
NVE15030,,
NVE12087,,
NVE21013,K06173,truA; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
NVE21906,,
NVE14925,,
NVE5709,,
NVE5149,,
NVE2635,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE5480,,
NVE12417,,
NVE6539,,
NVE18763,,
NVE15560,,
NVE24660,,
NVE3481,,
NVE2694,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE10022,,
NVE23919,,
NVE11810,,
NVE11400,,
NVE17123,,
NVE19227,,
NVE5511,K03305,"TC.POT; proton-dependent oligopeptide transporter, POT family"
NVE24753,,
NVE15015,,
NVE1939,,
NVE2117,,
NVE14060,,
NVE1756,,
NVE7967,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE4519,,
NVE16864,,
NVE5263,K00948,PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
NVE8006,K01444,AGA; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
NVE10386,,
NVE25251,,
NVE23692,,
NVE11704,K17758,nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
NVE15134,,
NVE6609,,
NVE10927,,
NVE5795,,
NVE4011,,
NVE16561,,
NVE1474,,
NVE22203,,
NVE2908,K00457,HPD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
NVE1979,,
NVE9825,,
NVE14967,,
NVE14420,,
NVE15464,,
NVE4765,,
NVE21646,,
NVE13946,,
NVE1368,,
NVE10441,K03522,fixB; electron transfer flavoprotein alpha subunit
NVE16857,,
NVE3881,,
NVE19755,K06942,ychF; ribosome-binding ATPase
NVE25271,,
NVE2313,,
NVE3456,,
NVE24486,,
NVE7508,,
NVE24481,,
NVE5898,,
NVE18781,,
NVE6359,,
NVE16110,,
NVE12617,,
NVE14742,,
NVE9738,,
NVE21747,,
NVE12004,,
NVE19420,,
NVE16231,K01409,KAE1; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
NVE9074,,
NVE21362,,
NVE151,,
NVE17307,,
NVE5990,,
NVE10981,,
NVE341,,
NVE17391,,
NVE19601,K00015,gyaR; glyoxylate reductase [EC:1.1.1.26]
NVE23996,,
NVE5024,,
NVE15784,,
NVE20978,,
NVE542,,
NVE19917,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE10706,,
NVE13384,,
NVE748,,
NVE19263,,
NVE19947,,
NVE9324,,
NVE19157,,
NVE21100,,
NVE2247,,
NVE23361,,
NVE23500,,
NVE12444,K04712,DEGS; sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]
NVE12,K04266,
NVE15214,,
NVE8976,,
NVE5032,,
NVE16242,,
NVE24733,K01183,E3.2.1.14; chitinase [EC:3.2.1.14]
NVE14011,,
NVE3539,,
NVE9291,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE22460,,
NVE19542,,
NVE14541,,
NVE19321,,
NVE1304,,
NVE2602,,
NVE24247,,
NVE8502,,
NVE7519,,
NVE8934,,
NVE19220,,
NVE19346,,
NVE21947,,
NVE14988,,
NVE6893,,
NVE22450,,
NVE4718,,
NVE19224,,
NVE11727,,
NVE21515,,
NVE1019,,
NVE991,,
NVE4953,,
NVE3987,,
NVE16586,,
NVE2845,K00714,
NVE23838,,
NVE19824,,
NVE10702,,
NVE24888,,
NVE8852,,
NVE25103,,
NVE14644,,
NVE10460,,
NVE23742,,
NVE5720,,
NVE9517,,
NVE13543,,
NVE9386,,
NVE11459,,
NVE172,K00616,E2.2.1.2; transaldolase [EC:2.2.1.2]
NVE24014,,
NVE21143,,
NVE2162,,
NVE12579,,
NVE3035,,
NVE22997,,
NVE7523,,
NVE6930,K04266,
NVE19011,,
NVE8256,,
NVE13098,,
NVE7332,,
NVE8774,,
NVE13718,,
NVE13207,K07019,uncharacterized protein
NVE574,,
NVE8158,,
NVE18538,,
NVE5044,,
NVE20889,,
NVE22631,,
NVE19246,,
NVE12915,,
NVE12702,,
NVE6125,,
NVE10704,,
NVE19,,
NVE23347,,
NVE20264,K01126,E3.1.4.46; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
NVE17221,,
NVE12063,,
NVE8118,,
NVE18018,,
NVE10004,,
NVE15843,,
NVE389,,
NVE22822,,
NVE17677,,
NVE2009,,
NVE21131,K12132,prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
NVE20998,,
NVE10213,,
NVE950,,
NVE22056,,
NVE11971,K18896,gsmt; glycine/sarcosine N-methyltransferase [EC:2.1.1.156]
NVE12640,,
NVE4859,K08715,IRPC; inward rectifier potassium channel
NVE14483,,
NVE707,,
NVE13437,,
NVE16443,,
NVE7918,,
NVE6774,,
NVE19436,K04358,
NVE23706,K01070,frmB; S-formylglutathione hydrolase [EC:3.1.2.12]
NVE8093,,
NVE15141,,
